Language,Japanese,Commentary
lytic,溶菌,溶解性の. 溶菌性の. 溶解薬. 溶菌
Macau,マカオ,"中華人民共和国マカオ特別行政区. 通称マカオ(葡Macau). 1999年までポルトガルの植民地. 香港から南西に70km離れ, カジノや世界遺産を中心とした観光地"
macaw,コンゴウインコ,(動物)金剛インコ. (植物)オニトゲココヤシ
macho,マッチョ,たくましい. 男らしい. 男気を見せる
macro,マクロ,マクロ
madam,マダム,奥様. (俗)めかけ
madly,狂ったように,気が狂ったように. 狂ったかのように
Madre,マドレ湖,女性･尼僧. 対義語はpadre(男性).  2. マドレ湖
Mafia,マフィア,マフィア. イタリアのシチリア島を起源とする組織犯罪集団. アメリカに進出しコーザ･ノストラやアウトフィットとも呼ばれる.
magic,マジック,魔法の. 魔法. 魔力
magma,マグマ,マグマ(岩漿(しょう))
Maine,メイン州,メイン州 (ME)
maize,メイズ,(UK英)トウモロコシ(の実)
major,メジャー,主要な. 大手の. より大きい. 大きいほうの. 専攻の. 少佐. 専攻する
maker,メーカー,製造業者. 創造主
Malay,マレー語,マレー語
Malta,マルタ,マルタ共和国 Republic of Malta. イタリアのシチリア島南の島国. 英連邦およびEU加盟国. 小型犬のマルチーズMalteseの名はマルタに由来
malus,マリュス,リンゴ属(バラ科の一属)
mambo,マンボ,マンボ(を踊る)
mamma,ママ,おかあさん. ママ. 肉感的な女
mammy,ママ,ママ. 黒人の乳母. (mummyもママの意味がある. ミイラの意も)
mange,疥癬,(méɪndʒ) (犬･牛などの)皮癬(ひぜん). 疥癬(かいせん. 毛が抜ける)
mango,マンゴー,マンゴー(の実)
mangy,貧弱な,軽蔑すべき. 卑劣な
mania,マニア,マニア. 躁病. 異常な熱意. 熱中させるもの
manic,躁病の,躁病の. 躁病患者
manly,男らしい,男らしい. 男性の. 男まさりの
manna,マンナ,マナ(昔イスラエル人が荒野で神から与えられた食物). 天の恵み. 心の糧
manor,荘園,(英)(封建制度下の)荘園. manor house邸宅. (英)警察の管区. なじみの場所. 所有地
manse,牧師館,館. 大邸宅
manta,マンタ,イトマキエイ. マンタ
maple,カエデ,カエデ. 楓
March,3月,3月
Marco,マルコ,マルコ (人名)
marge,マージ,マーガリン. (人名)Margaretの省略形
Maria,マリア,マリア. イエスキリストの母. 2. マリア (一般の人名)
Marie,マリー,マリー(人名)
marin,マリン,海に関わるものを示す形容詞. ラテン語のmare(＝海)が起源. 転義し. 「船員」「船舶」などの名詞にも使われる.
Mario,マリオ,マリオ(人名)
marry,結婚する,結婚する. (名前のメアリーはMary)
Marsh,湿地,マーシュ(人名). 湿地. 沼地
mason,石工,石工. 石で建てる. れんが職人
match,マッチ,に匹敵する. に調和する. 試合. 競争相手. 好敵手. 釣り合う人･物
mater,脳膜,脳膜. 2. おっかさん
matey,相棒,相棒. 仲間. 気さくな. 親しい. 人付き合いがよくて
matte,マット,(mˈæt). つや消しの. (色･つやが)鈍い. つや消し(面)(dull finish). 表面をつや消しにする
matzo,マツォー,マツォー. 種なしパン
mauve,モーブ,ふじ色. モーブ色(の). フジ色. 藤色
maven,達人,達人. (自称)物知り. 通
maxed,大変疲れ,大変疲れた
maxim,格言,格言. ことわざ. 金言. 行動原理. 処世訓
Mayan,マヤ文明の,マヤ文明の
maybe,多分,たぶん. ひょっとすると
Mayer,メイヤー,メイヤー(人名)　(市長はMayor)
mayor,市長,市長
Mazda,マツダ,マツダ(日本の自動車メーカー)
mazel,マゼル,運. 好運
mealy,粉(こ)を吹いた,"(míːli)(mealier,-iest)粉状の. 粉(こ)を吹いた(mealy potatoes粉吹きジャガイモ). 2. 食事を含んでいるか食事でできている(containing meal or made of meal)"
means,手段,方法. 手段. 財産
meant,意味,意味した
meaty,肉の,肉の(ような). 筋肉たくましい. 太った. 内容の充実した
Mecca,メッカ,メッカ. 中心地. 聖地. サウジアラビアの都市. 同国は1980年代に公式な英語表記をMeccaから Makkah(mækə)に改めたが依然Meccaが使用されている
mecha,メカ,"メカ(mechanism,mechanicalの略語)"
medal,メダル,メダル. 勲章. 記章. メダルを授与する
media,メディア,(mediaはmediumの複数形). マスコミや報道. 2. 中間にあるもの. 間に入って媒介するもの
medic,衛生兵,(俗)軍医. 衛生兵. 医者. 医学生. インターン生
Mekon,メコン,ミーコン(人名 他). (メコン川は Mekong Riverと別綴り)
melan,メラン,メラン. 遺伝子名
melee,乱闘,乱闘. 混戦. 激しい論戦
melon,メロン,メロン. スイカ. ウリ科植物の総称. 特別配当金
menus,メニュー,メニュー
mercy,慈悲,慈悲. 寛容. 幸運
merge,マージ,合併する. 合同する. 同化吸収する. 溶け込ませる. 融合する
merit,メリット,長所. 手柄. に値する
Merle,メルル,"メルル,人名(男女). blackbird(アメリカムクドリやクロウタドリなど黒い鳥. (=Merlot)メルローワインの別名"
merry,メリー,陽気な. 快活な
meson,中間子,中間子. (クォークおよび一つの反クォークで構成された不安定な亜原子粒子)
messy,乱雑な,散らかった. 扱いにくい. 汚い
metal,金属,金属. 鉄道レール. 装甲車. 材料. 気性
meter,メーター,メートル
metre,メーター,メートル
metro,メトロ,メトロ. 地下鉄
mGluR,mGluR,"代謝型グルタミン酸受容体. 脳神経系に発現し,記憶や学習,感覚情報処理を司る. 統合失調症等の治療薬の標的分子でもある"
Miami,マイアミ,マイアミ市(フロリダ州)
micro,マイクロ,極端に小さい. 顕微鏡でしか見えない. 超ミニの. 極小の. 超ミニスカート
midge,ミッジ,蚊. ブヨ. 小さい人
midst,真ん中,中央. の中に. 真ん中に
might,可能性がある,可能性がある. 力. mayの過去形
Milan,ミラノ,ミラノ. ローマに次ぐイタリアの大都市. 人口130万. 南ヨーロッパ最大の都市圏人口を擁する
milky,ミルキー,乳状の. 乳のような. 乳白色の. 乳をよく出す. 乳を混ぜた. 柔弱な
mimic,ミミック,をまねる. まねてからかう. 模倣者. 偽の. 模倣の. 模造の
mimus,マネシツグミ,マネシツグミ (鳥の名 =mockingbird)
mince,ミンチ,ミンチ. 細かく刻む. 控えめに言う. 遠回しに言う. 気取って話す
mined,採掘された,採掘された
miner,鉱山労働者,坑夫. 鉱夫. 鉱山業者(労働者). 地雷工兵. 採鉱機. 2. ハイイロミツスイ(ミツスイ科の鳥の名前)
minor,マイナー,より小さい. 小さい方の. 比較的重要でない. 副専攻の. 年少の. 未成年者
minus,マイナス,差引いて. を引いた. マイナスの. 以下の. マイナス. 不足
miRNA,のmiRNA,"マイクロRNA(microRNA,=miR)"
mirth,歓喜,陽気. 歓楽. 歓喜
miser,守銭奴,けちんぼ. 守銭奴. 欲張り
missy,ミッシー,(呼びかけで)お嬢さん. 娘さん
misty,霧の,かすみのかかった. かすんだ. 霧の. ぼんやりとした
miter,マイター,留め継ぎ(2つの材木のつなぎ方)
mixed,ミックス,入り混った. 混じる. 混合した. 雑多の. 男女混合の
mixer,ミキサー,ミキサー. 音量調整係. 社交家
mobil,モービル,モービル
mocha,モカ,コーヒー色. チョコレート色. モカ. 上等のコーヒー. モカ革. モカ風味のケーキ. 暗褐色. 手袋用なめし革
modal,モーダル,様式の. 様態の. 形式上の. 形態上の
model,モデル,モデル. 模型. 作る. 形に表わす. 模範. 型. 模型の. 模範となる. かたどる
modem,モデム,モデム. 変復調装置
modus,手口,(ラテン語)様式. 方法
mogul,モーグル,モーグル(スキー競技名). 2. (M-)ムガール人(16 世紀にインドを征服したモンゴル族と子孫). 3. 重要人物. 権力者
moist,湿った,湿気のある. 湿った. 涙ぐんだ. 濡れた
molar,臼歯,分子の. Molar concentration(モル濃度). 濃度の表示形式(1L中の溶質をモル数で表したもの. 単位はmol/L)  2. 臼歯(の). かみ砕く
moldy,かび臭い,かび臭い(musty)
molly,モリー,"Molly. (mάli,mˈɔli). モリー(女性名Maryの愛称). 人気がある観賞魚(グッピーの異表記)"
momma,おかあちゃん,ママ
mommy,ママ,おかあちゃん. ママ
Monde,モンド,"ル･モンド(仏,Le Monde). フランスの新聞(夕刊紙). 2. 世間. 社会(仏語)"
Monet,モネ,"クロード･モネ(Claude Monet)1840生. フランス印象派を代表する画家. 睡蓮,ラ･ジャポネーズ,日傘を差す女 他"
money,お金,お金
Monte,モンテ,(トランプ賭博)モンテ(40枚のカードで遊ぶスペインのトランプゲーム). 薮. Monte(人名)
month,月,月
mooch,ねだる,(俗くそったれ. 素人投資家. だまされやすい奴. バーゲン商品をあさる客. くすねる. ずる休みする. ねだる. ぶらつく. 知らん顔をする
moody,ムーディー,不機嫌な. 憂欝な. 憂うつな. 気分の変わりやすい
Moore,ムーア,ムーア(人名) (cf. ムーア人はMoor)
moose,ムース,ムース. アメリカヘラジカ
moped,モペッド,ペダル付きのオートバイ. 原動機だけでもペダルをこいで人力だけで走行することが可能な車両の総称. Motorと Pedalの合成語. (cf. moppetは別単語)
moral,道徳,道徳の. 道徳的な. 精神的な. 教訓. 品行
moray,ウツボ,ウツボ(魚)
Mores,モース,社会習慣. しきたり. 2. モース(人名)
moron,ばか,まぬけ. 馬鹿. アホ. 軽度精神薄弱者
morph,モーフィングする,変形する. 形態を変える(morph. morphing)
Morse,モールス,モールス信号. Morse code. 電信で用いられる信号.
morus,クワ,桑. 2. モールス信号
Moses,モーセ,Moses. モーゼ. 紀元前13世紀の古代イスラエルの指導者
mossy,コケで覆われた,コケで覆われた. 古めかしい
motel,モーテル,モーテル(Motor Hotel)
motif,モチーフ,主題. モチーフ. 基調. 動機. 飾り
motor,モーター,モーター. 原動機. 発動機. オートバイ. 動力を起こす
motto,モットー,モットー. 座右の名. 標語. 題字
mould,モールド,鋳型. 流し型. 骨組み. 鋳物. 性質. 作る. 肥土. 土. かび
mound,マウンド,土塁. 塚. 盛り土. 小山. 土手. 堤. 盛り上げる. 2. (野球)マウンド
mount,マウント,取り付ける. 昇. 乗る. 取りつける. 上演する. 標本にする. 山
mourn,悼む,悲しむ. 悼む. 喪に服す
mouse,マウス,(pl. mice)ハツカネズミ. 臆病物. かわいい子. (ratはドブネズミで大きい)
mousy,ネズミ,おとなしい. おどおどした. ネズミ色の. ネズミの. ネズミの多い. ネズミ臭い. 内気な
mouth,口,口. (cf. mouseはねずみ. マウス)
moved,移動,移動
mover,発動機,動く人. 移住民. 成功者. 発動機
movie,ムービー,映画
mowed,刈られた,刈られた
mower,芝刈り機,草刈り人(機)
moxie,勇気,活気. 精力. ファイト. ガッツ. 技術(知識)
mtDNA,ミトコンドリアDNA,ミトコンドリアDNA
mucho,ムーチョ,"ムーチョ,たくさんの,とても(スペイン語)"
mucus,粘液,粘液. 鼻汁(nasal mucus). (植物の)やに
muddy,泥だらけの,どろだらけの. 泥だらけの. 泥の. ぬかるみの. 濁った. さえない
muggy,蒸し暑い,"むし暑い. (cf.humid湿気の多い(一般的).stickyベタベタする(不快な)暑さ.muggyむし暑い(くだけた感じ.Muggy,isn’t it?蒸し暑いね))"
mulch,根覆い,根おおい
multi,マルチ,マルチ(の)
mummy,ミイラ,ミイラ. 暗褐色 2. ママ(=mammy)
mumps,流行性耳下腺炎,流行性耳下腺炎. おたふく風邪. おたふくかぜ
munch,むしゃむしゃ食う,むしゃむしゃ食う
mural,壁画,壁の
murky,濁った,暗い. 陰気な. 曇っている. 理解しにくい
mused,事も無げ,＜muse. 熟考の上
museo,博物館,"美術館,博物館のスペイン語(およびラテン系言語) "
mushy,柔らかな,(かゆのように)柔らかな. 弱々しい. 涙もろい
music,音楽,音楽
musky,じゃ香の,じゃこうの香る. じゃこう(質)の
musty,かび臭い,かび臭い(moldy)
muted,ミュート,黙している. 弱音器をつけた
myrrh,ラム酒,ラム酒. 没薬. 没薬を採る木
mysid,アミ,アミ類(小型のエビ類)
MySQL,MySQLの,MySQL. 世界でもっとも普及しているオープンソースのRDBMS(リレーショナル･データベース･システム)
NAACP,全米有色人地位向上協会,National Association for the Advancement of Colored People. 全米有色人地位向上協会
nacho,ナッチョ,ナーチョ. ナッチョ(メキシコ料理)
nAChR,nAChR,"nicotinic acetylcholine receptors (nAChR). ニコチン性アセチルコリン受容体. 神経伝達物質であるアセチルコリンの受容体として,興奮作用を伝達する"
Nader,ネーダー,Ralph Nader ネーダー. 米国の社会活動家
nadir,天底,天底. どん底
NAFTA,NAFTA,North American Free Trade Agreement. 北米自由貿易協定
nahco,炭酸水素ナトリウム,炭酸水素ナトリウム
naive,素朴な,あどけない. ばか正直の. 無邪気な. 世間知らずの. だまされやすい
naked,裸,ありのままの. 裸の. むき出しの. 無防備の
names,名,名前
Nancy,ナンシー,ナンシー(人名). 女々しい男. ホモ
nanny,乳母,おばあちゃん. (=nan. nana. nanny. granny. grandma. granma. gran). ばあや. 乳母. 子守. 雌ヤギ
nappy,おむつ,おむつ. 泡立つ
nasal,鼻の,鼻声の. 鼻の. 鼻声. 鼻音(の)
nasty,意地の悪い,むかつくような. いかがわしい. 汚い. ひどく不潔な. いやな. わいせつな
natal,ナタール,出生(出産. 分娩)の
natch,当たり前,当たり前の
natty,粋な,粋な. 小ぎれいな
naval,海軍の,海軍の
navel,へそ,軍艦の. 海軍の. へそ. 中心
needs,ニーズ,必要物. ニーズ. 必ず～する
needy,貧しい,貧窮している. 非常に貧乏な
negro,黒人,アフリカ系黒人. 黒人. 皮膚の黒い人
Nehru,ネール,Jawaharlal Nehru. ネール(1889-1964). インド初代首相. ガンディーやチャンドラ･ボースと独立運動を指導. 娘は後の首相のインディラ･ガンディー
neigh,いななき,馬がいななく. ヒヒーン(馬の鳴き声)
Neill,ニール,ニール (人名)
nelly,ネリー,安ブドウ酒. おかまっぽい男. 女みたいな男
Nepal,ネパール,ネパール王国 Kingdom of Nepal
nerdy,オタク,まぬけな. ばかな. 頭は良いが流行に無頓着な. ダサい
nerve,神経,を元気づける. 神経. 度胸. ずぶとさ
nervy,神経質な,筋骨たくましい. 神経過敏な
never,決して,決して～ない. 今までに一度も～ない
Nevis,ネビス島,セントクリストファー･ネイビス Federation of Saint Kitts and Nevis. 西インド諸島の小アンティル諸島の2島からなる島国. 英連邦の一国
nevus,母斑,母斑
newer,新しい,新しい
newly,新たに,新たに. 最近. 再び
newsy,話題の豊富な,ニュースの多い. 話題の豊富な. おしゃべりな
nexus,ネクサス,関連(connection). 絆(bond). ネクサス(文の構成要素間の主語述語関係)
nicer,よりよい,よりよい
niche,ニッチ,(人･物の)適所. 適性
niece,姪,めい. 姪
nifty,気の利いた,粋な(stylish). 楽しい(pleasing). 気が利いた. 格好いい. 素晴らしい
Niger,ニジェール,"ニジェール共和国 Republic of Niger. 西アフリカのサハラ砂漠南の国. 内陸国で,人口1700万人"
night,夜,夜
Nikon,ニコン,ニコン(日本のカメラメーカー)
nilly,nilly,willy‐nilly (いやでも応でも)
ninja,忍者,忍者
ninny,ninny,ばか(者). まぬけ. 乳首. 乳房
ninth,第9,(日付の)9日. 第9. 9番目の
nippy,すばしこい,(幼児語)おしゃぶり(=pacifier). 2. すばしこい. 厳しい
Nixon,ニクソン,ニクソン. Richard M. Nixon. 米国第37代大統領1969-74. 共和党
Nobel,ノーベル,"ダイナマイトの発明者Alfred Nobel. その遺言に従って1901年からノーベル賞が始まった. 物理学,化学,医学生理学,文学,平和,経済学の6分野"
noble,貴族,堂々とした. 気高い. 堂々たる. 高貴の. 貴族の. 崇高な
nobly,気高く,貴族らしく. 気高く. 立派に. 堂々と
nodal,節の,節の
noise,ノイズ,"(不快で非音楽的な)音,騒音. 騒がしさ. 雑音. 言い触らす"
noisy,騒々しい,やかましい. 騒々しい. ざわついた
nomad,遊牧民,遊牧民. 流浪者(cf. nomadic)
nonce,ノンス,当面の目的. 目下. 当座. その場限りの. 臨時の. 性的異常者. 強姦犯人. 卑劣な奴. ばかげたこと
noone,誰も,誰も
noose,ヌース,(引くと輪が締まるようになっている)輪なわ. 引き結び. (縄を結んだ)輪
NORAD,NORAD,North American Aerospace Defense Command. 北米大陸防空軍(旧North American Air Defense Command)
Norse,ノルウェー人の,ノルウェー人の. 古代スカンジナビアの
north,北,北. 北部
nosed,鼻,鼻の. (flat-nosed. 鼻の低い)
notch,ノッチ,切り目(をつける). 刻み目. 山峡. V字形の刻み目. 山あい. 段. 級. (目印のために)刻み目をいれる cf. knot(結び目. 結ぶ)
noted,注目,有名な. 著名な
Notre,ノートルダム,ノートルダム寺院(パリ). ゴシック建築を代表する建物
novel,小説,(長編)小説. 新しい. 珍しい. 異常な. 新奇な
nudge,少しずつ動かす,軽くつつく. (注意を引くために)そっと押す. 行動を促す. ひじでつつくこと
nurse,看護師,養成する人. 看護婦. 乳母. 授乳する. 看護する. 大事に育てる. (思想など)を心に抱く
nutty,ナッティー,に熱中して
nylon,ナイロン,ナイロン. ナイロンストッキング
nymph,ニンフ,ニンフ(神話). 少女の姿の妖精.  2. トンボやバッタなど不完全変態をする昆虫の幼虫(成虫がそのまま小さくなった姿形)
oasis,オアシス,オアシス. 慰安の場所
Obama,オバマ,Barack Obama第44代米国大統領. 2009-. 民主党 (ANC統計非対象期間. Michelle夫人も)
obese,肥満した,でっぷり肥えた. 肥満体の. 肥満
occur,発生する,(出来事が偶然)起こる. 心に浮かぶ
ocean,海洋,海. 海洋. (cf. ocean. sea. marine)
ocher,黄土色,(óukər). オークル(黄土色). 2. (俗)金(かね). 金貨
ochre,黄土色,黄土色
oddly,妙に,奇異に. はんぱに. 奇数に. 奇妙に
odour,臭気,(UK英)香り. 匂い. 臭気. 芳香. 気配
offal,臓物,くず. 廃物. ごみ. がらくた
offer,オファー,提案. を申し出る. を与える. 申し出
often,多くの場合,しばしば. よく. たびたび
Ogden,オグデン,オグデン市(ユタ州北部の都市)
oiler,タンカー,タンカー
olden,昔の,昔の
older,年上の,古い
oligo,オリゴ,オリゴ糖(oligosaccharide)とは. 単糖類同士が結合した多糖化合物で. ビフィズス菌などの腸内善玉菌を増やす効果で知られる.
olive,オリーブ,(色)オリーブ. 薄緑色. オリーブ色. 薄緑
Ollie,オーリー,"オーリー(人名,社名). 2. ビー玉 "
Omaha,オマハ,オマハ. ネブラスカ州最大の都市
omega,オメガ,(第24ギリシア文字)オメガ. Ω. ω. 最後(のもの)
onion,タマネギ,玉葱. タマネギ
onset,開始,襲撃. 攻撃. 始まり. 着手. 手始め
oomph,活力,(俗)性的魅力. 元気
opera,オペラ,オペラ. 歌劇
opine,オピン,意見を述べる(いだく). 考える. 思う
opium,アヘン,麻薬. アヘン
optic,オプティック,目(の). 光学(の)
orang,オランウータン,オランウータン(Orangutan)
orate,orate,演説する
orbit,軌道,軌道. 行路. 眼窩. 眼球孔. の周りを回る. 軌道を周回する
order,オーダー,注文. 命令. 順序. 秩序. に命令する. を注文する
organ,オルガン,オルガン. 器官. 機関. 音声
Orion,オリオン,"オリオン(ギリシア神話,巨人の猟師). オリオン座"
Osaka,大阪,大阪. 日本の都市
Oscar,オスカー,オスカー賞. 文字oを表わす際の例
Oskar,オスカー,オスカー賞
Osman,オスマン,"オスマン1世. オスマン朝(Ottoman Empire1299－1922年)の初代皇帝. セルジューク朝から独立し,1301年ビザンツ帝国と戦い,繁栄の基礎を築いた"
other,その他,他の. 別の. 他の人. 他のもの
otter,カワウソ,カワウソ(の毛皮)
ought,～すべき,～すべきである
ounce,オンス,"1オンスは28. 3グラム. 1ポンド=16オンス=454グラム. 体積の単位 1液量オンス(fluid ounce,fl oz)=29. 57ml(約30cc)"
outdo,しのぐ,にまさる. しのぐ
outer,アウター,外の. 外側の. 客観的な. 圏外
outre,常軌を逸した,常軌を逸した
outta,外に,外に
ovary,卵巣,卵巣. 子房
overt,あからさまな,明白な. 公然の. あからさまの. 表立った
ovoid,卵形の,卵形の
owing,借金,に借りがある. 借りている. 借りとなっている
owner,所有者,オーナー. 所有者. 持ち主. 船主
oxide,酸化物,酸化物
ozone,オゾン,(化)オゾン. 新鮮な空気
Pablo,パブロ,"Pablo Picasso パブロ･ピカソ. (1881生). スペイン生まれ,フランスで活動した画家. キュビスムの創始者. "
pacer,ペースメーカー,ペースメーカー
paddy,水田,水田. 稲
padre,神父,牧師
paean,賛歌,勝利(感謝)の歌. 賛歌
pagan,異教徒,異教徒(の). 異端者. 多神教者. 不信者の. 無宗教者
pager,呼び出し,ポケットベル. ポケベル. 携帯電話. 携帯用小型無線呼出し機
paint,ペイント,(絵の具で)描く. にペンキで塗る. 塗装する. ペンキ
Palau,パラオ,パラオ共和国 Republic of Palau. 太平洋のミクロネシアの国. 第一次世界大戦後の日本の委任統治領を経て1994年独立
Palma,パルマ,Palma de Mallorcaパルマ･デ･マヨルカ. 地中海のマヨルカ島にあるスペインの都市. カタルーニャ語を話す
palsy,麻痺,麻痺. しびれ. 中風. 麻痺状態
Pampa,パンパ,パンパ. アルゼンチン中部の草原地帯. 世界的牧畜地域. (cf. Savanna熱帯地方の大草原. Prairie米国Mississippi川流域の大草原. the Steppesシベリア･アジアの大草原)
panda,パンダ,パンダ
panel,パネル,はめ板. パネル. パネル画. 2. 多国間協議機関
panga,山刀,刃が長く広い刀. 大なた
panic,パニック,パニック. 恐慌. をうろたえさせる. うろたえる
pansy,パンジー,三色スミレ. パンジー. スミレ色. にやけた男. ホモ
pants,パンツ,"ズボン(の). パンツ(の). (pantsが圧倒的に多用され,trousers,slacksがほぼ同等)"
panty,パンティー,パンティー
Papal,ローマ法王の,"ローマ教皇の,教皇制度の,ローマカトリック教会の"
paper,紙,紙. 答案. 試験用紙
pappy,パン粥状の,おやじ. 2. ドロドロの. パン粥状の. 柔らかな
Papua,パプア,"パプアニューギニア独立国(Papua New Guinea). 南太平洋,ニューギニア島の東半分と周辺の島々からなる立憲君主制国家. 銅は世界第3位,金は第1位の埋蔵量を持つ"
parch,乾上がる,をからからにする. あぶる. をからからに乾かす. を炒る. 干上がる. からからになる
Paris,パリ,パリ. フランスの首都. 人口220万
parka,パーカ,パーカ. 毛皮ジャケット
parry,受け流す,を言い抜ける. をかわす. を受け流す. 受け流し. 言い逃れ
parse,構文解析する,を構成要素に分析する. の語尾変化を記述する. 文法的に解剖する
party,パーティー,会. パーティ. 政党
paseo,遊歩道,遊歩道
Pasha,パシャ,"(トルコ語)パシャ. トルコ,エジプトの文武高官の尊称"
passe,盛りを過ぎた,古めかしい. 往年の. 盛りを過ぎた. パセ
pasta,パスタ,パスタ
paste,ペースト,をのりではる. ねり物. ペースト. のり. 練り粉
pasty,ペースト状,ねり粉のような. のりのような. しまりのない. 顔色が青白い
patch,パッチ,つぎはぎ. 継ぎ. 傷当て. あてをする. に継ぎを当てる. を継ぎ合わせて作る
pater,ペイター,主の祈り. 主祷文
patio,パティオ,(米語)パティオ(テラス. 中庭)
patsy,いいカモ,お人好し. かも
patty,パテ,パティー. 挽き肉などを小円盤状にまとめたもの. 小さい円盤状のキャンディ
Paula,ポーラ,"パウラ,ポーラ(人名)"
Paulo,サンパウロ,"São Pauloサンパウロ. ブラジル南東部の都市. 都市圏人口2,000万人以上のブラジル最大かつ南半球最大のメガシティ. 略称はSPやS. Paulo"
pause,ポーズ,休止(する). 小休止. 躊躇. ちょっと止まる. ためらう
paved,舗装された,舗装された
payee,受取人,支払い先
payer,支払人,支払人. (pl. payers). (cf. payee支払先)
peace,平和,平和
peach,桃,桃(の実). 桃色
pearl,真珠,真珠(の). を真珠で飾る. 真珠色
pecan,ピーカン,(植物)ペカン. ピーカン(北米産ヒッコリーの一種)
pedal,ペダル,ペダル(の). のペダルを踏む. 足の
Pedro,ペドロ,ペドロ(人名)
peeve,不満,をいらだたせる. じらす. (cf. irritate. teas. peeve. annoy. provoke. (見せびらかして)tantalize)
penal,刑法の,刑事上の. 刑(法)の. 刑罰の. 罰を受けるべき
penis,ペニス,男性性器. ペニス
penny,ペニー,ペニー(銅貨)(英国などの通貨単位1. 100 pound). 小銭. わずかな量. 金額. (米･カナダの)cent. (一般的)金銭
peony,牡丹,牡丹. ボタン. シャクヤク
peppy,元気いっぱいの,加速が速い. 活発な. 元気いっぱいの. 高速運転ができる. 酒に酔って. 張り切った
Pepsi,ペプシ,ペプシコーラ. その社名
perch,パーチ,とまり木. 高い地位. 運転台. 郊外. 限界. 高い場所に位置を占める. 2. パーチ(スズキの類)
Perez,ペレス,ペレス (人名)
peril,危険,危険. 危険を招くもの. 危難
perky,元気な,生意気な
Perry,ペリー,ペアワイン. 洋ナシを発酵させて作った発泡性ワイン. 2. (ペリー提督Commodore Perry). 3. 一般人名
pesky,厄介な,やっかいな. いやな. うるさい
petal,花弁,花弁. 花びら
Peter,ピーター,ピーター. (鉱脈などが)徐々に尽きる(fail). Peter Panピーターパン
petit,プチ,(仏語)小さい. ささいな. プチ. かわいらしい
Petra,ペトラ,ペトラ遺跡. ヨルダンの死海とアカバ湾の間にある遺跡
petro,石油の,石油の
petty,ささいな,つまらない. 僅かな. 小さい. 些細な. 狭量な. 下級の. けちな. ささいな
phage,ファージ,ファージ. 細菌を宿主にするウイルス. 細菌を食うものの意. (=bacteriophage)
phase,段階,局面. 相. 段階. 1つの姿. 面. 位相. を段階的に計画する
phlox,宿根草,"フロックス. ハナシノブ科の植物で花が美しい. 67種が知られており,越冬性一年草のものと多年生のものがある"
phone,電話,電話. 電話をかける. telephone
phony,偽の,偽の. まやかし(の). いんちき(の). 偽物. ぺてん師
photo,フォト,写真. 写真にとる
piano,ピアノ,ピアノ
picky,うるさい,えり好みをする. (味などに)うるさい. ひどくこせこせした
piece,作品,一部. (全体の)一部. 1つ
piety,信心深さ,敬虔(な行為). 敬愛. お祈り
piggy,子豚,(幼児語)ブーちゃん. ブタさん. 豚のような. もっと食べたがる
piker,けちん坊,けちな人. スポーツの下手な人. 臆病者. 詐欺師. 野生の雄牛
pilot,パイロット,パイロット. 水先案内人. を導く. を通す. 試験的な. (ガスの)口火
pinch,ピンチ,つまむ(こと). はさむ(こと). 苦しい状況. 危機
piney,松,piny. 松の(茂った). 松のような
pinko,左がかった,左翼がかった人. ピンク色の. 酔っぱらった
pinna,耳介,(動)羽. 翼. ひれ. ひれ足(flipper). 耳殻. 耳介(auricle. 耳穴の周りにある音を集める構造). (植)(シダの葉など複葉の)羽片
pinta,ピンタ,1パイント(ヤード･ポンド法)の飲み物. 1パイント=約473cc=8分の1ガロン　2. ピンタ島(ガラパゴス諸島)
pinto,ピント,ぶちの. まだらの. まだら馬. 2. カメラのピント(主にfocusを使う. オランダ語puntoに由来)
pinup,ピンナップ,ピンナップ写真
pious,敬虔な,信心深い. 偽善的な. 宗教的な. 敬虔な
piper,パイパー,管楽器奏者. 笛ふき(bagpiper)導管敷設者. (魚)ホウボウ
pique,ピケ,(自尊心を傷つけられての)立腹. 不機嫌. out of pique. 腹立ちまぎれに. (動詞)怒らせる. I was piqued by her refusal. 断わられてしゃくにさわった
pissy,不愉快な,(俗)小便臭い. つまらない. 劣った. 不快な. いやにぶった
pisum,エンドウ属,エンドウマメ. 別名グリンピース. サヤエンドウ
pitch,ピッチ,ピッチ. 程度. 投げる. (テントを)張る
pithy,簡潔な,(文体が)力強い. 簡潔な. 簡潔にして要を得た. 髄のある
Pitre,ピトレ,"ポワンタピートル(Pointe-à-Pitre). カリブ海東端,小アンティル諸島にあるフランスのコミューン. グランド･テール島にあるピートル.  2. (人名)"
pivot,ピボット,旋回軸. 要. 中心. を枢軸のうえに置く. 旋回する
Pixar,ピクサー,ピクサー(アニメ会社)
pixel,ピクセル,ピクセル. 画素
pixie,小妖精,妖精. 小鬼. いたずら好きな
pizza,ピザ,ピザ(パイ)
place,場所,場所. 余地. を置く
plaid,格子縞の,格子じまの. 格子じま(の肩掛け･織物)
plain,平野,明白な. 質素な. 率直な. (味が)あっさりした. 平原. 平野
plait,ひだ,ひだ. 弁髪. 編んだもの. プリーツ. を編む
plane,プレーン,飛行機
plank,厚板,厚板. 政策. 支えとなるもの. を板張りする
Plano,プラノ市,プラノ市 (テキサス州)
plant,プラント,植物
